Took,Over,Draft Round,Edge,Result,Account
Ronin,Berserker,2,-0.193,Loss,#9RG0VPUVY
Mother Witch,Princess,3,-0.191,Loss,#9RG0VPUVY
Royal Hogs,Skeleton Barrel,1,-0.190,Win,#9RG0VPUVY
Royal Delivery,Zappies,4,-0.187,Win,#9RG0VPUVY
Valkyrie,Three Musketeers,3,-0.187,Loss,#9RG0VPUVY
Tesla,Ice Spirit,3,-0.187,Loss,#9RG0VPUVY
Royal Delivery,Zappies,1,-0.187,Win,#9RG0VPUVY
Royal Giant,Goblin Giant,2,-0.185,Loss,#9RG0VPUVY
Valkyrie,Firecracker,2,-0.184,Win,#9RG0VPUVY
Barbarian Hut,Mega Knight,1,-0.183,Win,#9RQ8YRYQL
Goblin Hut,Skeleton Barrel,2,-0.183,Win,#9RG0VPUVY
P.E.K.K.A,Royal Hogs,4,-0.181,Win,#9RG0VPUVY
Arrows,Barbarian Barrel,4,-0.177,Win,#9RG0VPUVY
Giant,Rascals,3,-0.177,Loss,#9RG0VPUVY
Mega Knight,The Log,4,-0.174,Loss,#9RG0VPUVY
Royal Giant,Rage,3,-0.172,Win,#9RG0VPUVY
The Log,Suspicious Bush,4,-0.168,Win,#9RG0VPUVY
The Log,Suspicious Bush,1,-0.168,Loss,#9RG0VPUVY
X-Bow,Elite Barbarians,3,-0.165,Loss,#9RG0VPUVY
Golem,Electro Wizard,3,-0.162,Win,#9RG0VPUVY
Ronin,Zap,3,-0.160,Loss,#9RG0VPUVY
Ronin,Knight,3,-0.160,Loss,#9RG0VPUVY
Valkyrie,Ice Spirit,4,-0.158,Win,#9RG0VPUVY
X-Bow,Goblin Giant,2,-0.157,Win,#9RQ8YRYQL
Baby Dragon,Vines,4,-0.157,Win,#9RG0VPUVY
Goblin Giant,Inferno Dragon,2,-0.156,Loss,#9RG0VPUVY
Bandit,Zappies,1,-0.154,Win,#9RQ8YRYQL
Firecracker,Witch,4,-0.154,Win,#9RG0VPUVY
Firecracker,Witch,1,-0.154,Loss,#9RG0VPUVY
