Took,Over,Draft Round,Edge,Result,Account
Three Musketeers,Dart Goblin,1,+0.066,Win,#9RG0VPUVY
Baby Dragon,Zap,1,+0.067,Loss,#9RG0VPUVY
Baby Dragon,Zap,3,+0.067,Win,#9RG0VPUVY
Baby Dragon,Zap,2,+0.067,Loss,#9RG0VPUVY
Bandit,Giant,2,+0.067,Loss,#9RG0VPUVY
Bandit,Giant,4,+0.067,Loss,#9RG0VPUVY
Mother Witch,Ronin,3,+0.068,Loss,#9RG0VPUVY
Inferno Dragon,Flying Machine,4,+0.068,Win,#9RG0VPUVY
Inferno Dragon,Fisherman,2,+0.068,Win,#9RG0VPUVY
Inferno Dragon,Flying Machine,4,+0.068,Win,#9RG0VPUVY
Mortar,Fisherman,4,+0.069,Win,#9RG0VPUVY
Goblin Giant,Lava Hound,3,+0.069,Win,#9RG0VPUVY
Goblin Giant,Lava Hound,1,+0.069,Loss,#9RG0VPUVY
Lava Hound,Elixir Golem,4,+0.070,Win,#9RG0VPUVY
Mortar,Rune Giant,2,+0.070,Win,#9RG0VPUVY
Bandit,Flying Machine,2,+0.071,Win,#9RG0VPUVY
Golem,Executioner,1,+0.072,Win,#9RG0VPUVY
Berserker,Heal Spirit,1,+0.072,Loss,#9RG0VPUVY
Royal Delivery,Giant Snowball,2,+0.073,Loss,#9RG0VPUVY
Golem,Wizard,3,+0.073,Win,#9RG0VPUVY
Goblin Drill,Witch,3,+0.074,Loss,#9RG0VPUVY
Skeleton Army,Witch,4,+0.074,Loss,#9RG0VPUVY
Royal Hogs,Ice Spirit,2,+0.075,Win,#9RG0VPUVY
Royal Hogs,Ice Spirit,1,+0.075,Loss,#9RG0VPUVY
Ice Spirit,Inferno Dragon,1,+0.077,Win,#9RG0VPUVY
Fireball,Poison,3,+0.077,Win,#9RG0VPUVY
Goblin Hut,Electro Spirit,1,+0.078,Loss,#9RG0VPUVY
Goblin Hut,Electro Spirit,4,+0.078,Loss,#9RG0VPUVY
Furnace,Firecracker,1,+0.078,Win,#9RG0VPUVY
Rune Giant,Elite Barbarians,2,+0.079,Win,#9RG0VPUVY
Mother Witch,Elite Barbarians,3,+0.079,Win,#9RG0VPUVY
Firecracker,Zap,1,+0.080,Win,#9RG0VPUVY
Firecracker,Zap,3,+0.080,Win,#9RG0VPUVY
Inferno Dragon,Valkyrie,2,+0.081,Win,#9RG0VPUVY
Electro Spirit,Inferno Dragon,1,+0.081,Loss,#9RG0VPUVY
Mortar,Valkyrie,4,+0.082,Win,#9RG0VPUVY
Giant,Elite Barbarians,4,+0.084,Loss,#9RG0VPUVY
Berserker,Royal Delivery,3,+0.086,Win,#9RG0VPUVY
Mortar,Dark Prince,1,+0.086,Win,#9RG0VPUVY
Mother Witch,Goblin Giant,4,+0.087,Win,#9RG0VPUVY
Knight,Giant,1,+0.087,Win,#9RG0VPUVY
Inferno Dragon,Hunter,2,+0.089,Win,#9RG0VPUVY
Goblin Demolisher,Electro Wizard,3,+0.090,Win,#9RG0VPUVY
Vines,Zappies,2,+0.090,Win,#9RG0VPUVY
Zap,Flying Machine,2,+0.091,Win,#9RG0VPUVY
Knight,Rune Giant,2,+0.092,Win,#9RG0VPUVY
Arrows,Executioner,3,+0.094,Win,#9RG0VPUVY
Mortar,Ram Rider,4,+0.095,Win,#9RG0VPUVY
Vines,Royal Hogs,3,+0.095,Loss,#9RQ8YRYQL
Electro Wizard,Furnace,1,+0.096,Win,#9RQ8YRYQL
Royal Hogs,Berserker,2,+0.096,Win,#9RG0VPUVY
Bandit,Ram Rider,4,+0.097,Win,#9RG0VPUVY
Tombstone,Dart Goblin,3,+0.097,Win,#9RG0VPUVY
Tombstone,Dart Goblin,2,+0.097,Win,#9RG0VPUVY
Princess,Zap,3,+0.099,Loss,#9RG0VPUVY
Mother Witch,Rage,4,+0.100,Win,#9RG0VPUVY
Goblin Barrel,Furnace,4,+0.103,Win,#9RG0VPUVY
Wizard,Ice Wizard,3,+0.103,Win,#9RG0VPUVY
Berserker,Barbarian Hut,2,+0.103,Win,#9RG0VPUVY
Berserker,Barbarian Hut,3,+0.103,Loss,#9RG0VPUVY
Three Musketeers,Bandit,3,+0.103,Win,#9RG0VPUVY
Executioner,Ice Wizard,3,+0.104,Win,#9RG0VPUVY
Dart Goblin,Giant,1,+0.104,Win,#9RG0VPUVY
Knight,Valkyrie,3,+0.104,Loss,#9RG0VPUVY
Wizard,Giant,2,+0.106,Win,#9RQ8YRYQL
Wizard,Giant,2,+0.106,Loss,#9RG0VPUVY
Baby Dragon,Heal Spirit,4,+0.106,Loss,#9RG0VPUVY
Executioner,Giant,1,+0.107,Loss,#9RG0VPUVY
Executioner,Giant,3,+0.107,Win,#9RG0VPUVY
Ice Wizard,Rage,3,+0.108,Loss,#9RG0VPUVY
Dart Goblin,Flying Machine,2,+0.108,Win,#9RG0VPUVY
Dart Goblin,Rune Giant,1,+0.109,Win,#9RG0VPUVY
Dart Goblin,Mother Witch,4,+0.109,Loss,#9RG0VPUVY
Dart Goblin,Rune Giant,4,+0.109,Win,#9RG0VPUVY
Wizard,Flying Machine,2,+0.110,Win,#9RG0VPUVY
Vines,Arrows,1,+0.110,Loss,#9RG0VPUVY
Goblin Demolisher,Witch,2,+0.110,Win,#9RG0VPUVY
Executioner,Flying Machine,2,+0.111,Win,#9RG0VPUVY
Electro Spirit,Royal Delivery,4,+0.111,Win,#9RG0VPUVY
Poison,Arrows,1,+0.111,Loss,#9RG0VPUVY
Royal Hogs,Dart Goblin,2,+0.112,Loss,#9RG0VPUVY
Golem,Bandit,1,+0.112,Win,#9RG0VPUVY
Zap,Hunter,3,+0.112,Win,#9RG0VPUVY
Knight,Hunter,3,+0.112,Win,#9RG0VPUVY
Mega Knight,Zap,4,+0.113,Loss,#9RG0VPUVY
Tombstone,Knight,4,+0.114,Win,#9RQ8YRYQL
Tombstone,Zap,1,+0.114,Win,#9RG0VPUVY
Tesla,Lava Hound,4,+0.115,Win,#9RG0VPUVY
Tesla,Lava Hound,3,+0.115,Win,#9RG0VPUVY
Knight,Ram Rider,4,+0.117,Win,#9RQ8YRYQL
Executioner,Night Witch,4,+0.117,Loss,#9RG0VPUVY
Executioner,Night Witch,4,+0.117,Win,#9RG0VPUVY
Princess,Bandit,4,+0.119,Win,#9RG0VPUVY
Goblin Hut,Dart Goblin,1,+0.119,Win,#9RG0VPUVY
Goblin Demolisher,Vines,1,+0.120,Win,#9RG0VPUVY
Three Musketeers,Heal Spirit,4,+0.122,Loss,#9RG0VPUVY
Graveyard,Bandit,3,+0.122,Win,#9RG0VPUVY
Barbarian Hut,Rage,2,+0.122,Win,#9RG0VPUVY
Vines,Graveyard,3,+0.122,Loss,#9RG0VPUVY
Giant Snowball,Lava Hound,4,+0.122,Win,#9RG0VPUVY
Wizard,Valkyrie,4,+0.123,Loss,#9RG0VPUVY
Vines,Princess,1,+0.125,Win,#9RG0VPUVY
Vines,Princess,2,+0.125,Loss,#9RG0VPUVY
Berserker,Mother Witch,4,+0.125,Loss,#9RG0VPUVY
Royal Delivery,Goblin Giant,3,+0.126,Win,#9RG0VPUVY
Royal Delivery,Goblin Giant,3,+0.126,Win,#9RG0VPUVY
Rage,Elixir Golem,1,+0.126,Win,#9RQ8YRYQL
Rage,Elixir Golem,2,+0.126,Win,#9RG0VPUVY
Wizard,Dark Prince,1,+0.127,Loss,#9RG0VPUVY
P.E.K.K.A,Goblin Giant,3,+0.127,Loss,#9RG0VPUVY
Wizard,Dark Prince,3,+0.127,Loss,#9RG0VPUVY
Executioner,Dark Prince,4,+0.128,Loss,#9RG0VPUVY
Royal Hogs,Zap,2,+0.129,Win,#9RG0VPUVY
Berserker,Night Witch,2,+0.130,Loss,#9RG0VPUVY
Wizard,Hunter,1,+0.131,Loss,#9RG0VPUVY
Firecracker,Royal Delivery,2,+0.133,Win,#9RG0VPUVY
Dart Goblin,Ram Rider,3,+0.134,Win,#9RG0VPUVY
Mega Knight,Mortar,4,+0.135,Win,#9RG0VPUVY
Poison,Rascals,3,+0.135,Win,#9RG0VPUVY
Poison,Rascals,2,+0.135,Win,#9RG0VPUVY
Mega Knight,Mortar,4,+0.135,Loss,#9RG0VPUVY
Wizard,Ram Rider,3,+0.136,Win,#9RG0VPUVY
Mega Knight,Inferno Dragon,1,+0.136,Win,#9RG0VPUVY
Goblin Hut,Zap,4,+0.136,Win,#9RG0VPUVY
Executioner,Ram Rider,2,+0.137,Loss,#9RG0VPUVY
Executioner,Ram Rider,3,+0.137,Win,#9RG0VPUVY
Princess,Heal Spirit,1,+0.138,Win,#9RG0VPUVY
Goblin Giant,Elixir Golem,3,+0.139,Win,#9RG0VPUVY
Electro Wizard,Arrows,4,+0.140,Loss,#9RG0VPUVY
P.E.K.K.A,Rage,1,+0.140,Win,#9RG0VPUVY
Dark Prince,Lava Hound,4,+0.140,Win,#9RG0VPUVY
Furnace,Dart Goblin,4,+0.141,Loss,#9RG0VPUVY
Graveyard,Heal Spirit,1,+0.141,Loss,#9RG0VPUVY
Vines,Three Musketeers,4,+0.141,Win,#9RG0VPUVY
Electro Wizard,Mega Knight,3,+0.141,Win,#9RG0VPUVY
Electro Spirit,Ice Wizard,3,+0.142,Win,#9RG0VPUVY
Vines,Firecracker,2,+0.144,Win,#9RG0VPUVY
Valkyrie,Lava Hound,1,+0.144,Win,#9RG0VPUVY
Valkyrie,Lava Hound,4,+0.144,Win,#9RG0VPUVY
Vines,Firecracker,1,+0.144,Loss,#9RG0VPUVY
Golem,P.E.K.K.A,1,+0.144,Win,#9RG0VPUVY
Wizard,Giant Snowball,1,+0.145,Win,#9RQ8YRYQL
Ice Spirit,Fisherman,2,+0.145,Win,#9RG0VPUVY
Ice Spirit,Flying Machine,2,+0.145,Loss,#9RG0VPUVY
Ice Spirit,Fisherman,1,+0.145,Win,#9RG0VPUVY
Berserker,Hunter,4,+0.145,Loss,#9RG0VPUVY
Berserker,Hunter,1,+0.145,Win,#9RG0VPUVY
Ice Spirit,Fisherman,4,+0.145,Loss,#9RG0VPUVY
Executioner,Giant Snowball,2,+0.146,Win,#9RG0VPUVY
Goblin Barrel,Arrows,4,+0.147,Loss,#9RG0VPUVY
Royal Hogs,Bandit,4,+0.149,Win,#9RG0VPUVY
Goblin Drill,Furnace,4,+0.150,Win,#9RG0VPUVY
Goblin Drill,Furnace,2,+0.150,Loss,#9RG0VPUVY
Electro Spirit,Rune Giant,3,+0.150,Win,#9RG0VPUVY
Elite Barbarians,Inferno Tower,4,+0.151,Win,#9RG0VPUVY
Witch,Three Musketeers,2,+0.151,Win,#9RG0VPUVY
Baby Dragon,Ice Wizard,4,+0.151,Loss,#9RG0VPUVY
Witch,Three Musketeers,1,+0.151,Loss,#9RG0VPUVY
Witch,Three Musketeers,2,+0.151,Loss,#9RG0VPUVY
Night Witch,Lava Hound,3,+0.151,Win,#9RG0VPUVY
Bandit,Elite Barbarians,2,+0.151,Win,#9RG0VPUVY
The Log,Zappies,1,+0.153,Win,#9RG0VPUVY
Witch,Firecracker,3,+0.154,Loss,#9RG0VPUVY
Zappies,Bandit,3,+0.154,Loss,#9RG0VPUVY
Baby Dragon,Giant,4,+0.154,Win,#9RG0VPUVY
Graveyard,Royal Delivery,4,+0.155,Win,#9RG0VPUVY
Rune Giant,Lava Hound,3,+0.156,Win,#9RQ8YRYQL
Mother Witch,Lava Hound,4,+0.156,Win,#9RG0VPUVY
Rune Giant,Lava Hound,4,+0.156,Win,#9RG0VPUVY
Mortar,Goblin Giant,1,+0.157,Loss,#9RG0VPUVY
Vines,Baby Dragon,3,+0.157,Win,#9RG0VPUVY
Fisherman,Lava Hound,3,+0.157,Loss,#9RG0VPUVY
Baby Dragon,Mother Witch,3,+0.159,Loss,#9RG0VPUVY
Baby Dragon,Mother Witch,2,+0.159,Win,#9RG0VPUVY
Baby Dragon,Mother Witch,3,+0.159,Loss,#9RG0VPUVY
Ronin,Inferno Tower,1,+0.162,Win,#9RG0VPUVY
Goblin Barrel,Princess,1,+0.162,Loss,#9RG0VPUVY
Barbarian Barrel,Royal Hogs,4,+0.162,Win,#9RG0VPUVY
Suspicious Bush,Barbarian Barrel,3,+0.164,Win,#9RQ8YRYQL
Baby Dragon,Night Witch,4,+0.164,Win,#9RG0VPUVY
Mega Knight,P.E.K.K.A,4,+0.165,Loss,#9RG0VPUVY
Mega Knight,Royal Delivery,3,+0.166,Loss,#9RG0VPUVY
Arrows,P.E.K.K.A,2,+0.166,Win,#9RG0VPUVY
Electro Spirit,Dark Prince,4,+0.166,Win,#9RG0VPUVY
Tombstone,Royal Delivery,1,+0.167,Win,#9RG0VPUVY
Arrows,Royal Delivery,1,+0.167,Win,#9RG0VPUVY
Three Musketeers,Ice Wizard,2,+0.167,Win,#9RG0VPUVY
Three Musketeers,Ice Wizard,4,+0.167,Win,#9RG0VPUVY
Princess,Barbarian Hut,2,+0.169,Win,#9RG0VPUVY
Mortar,Rage,2,+0.170,Win,#9RG0VPUVY
Mortar,Rage,1,+0.170,Win,#9RG0VPUVY
Mortar,Rage,3,+0.170,Loss,#9RG0VPUVY
Vines,Ice Spirit,2,+0.170,Win,#9RG0VPUVY
Goblin Barrel,Rascals,1,+0.171,Win,#9RG0VPUVY
Goblin Barrel,Rascals,4,+0.171,Loss,#9RG0VPUVY
Knight,Elite Barbarians,3,+0.171,Win,#9RG0VPUVY
Firecracker,Fisherman,3,+0.171,Win,#9RG0VPUVY
Baby Dragon,Valkyrie,3,+0.171,Win,#9RG0VPUVY
Baby Dragon,Valkyrie,3,+0.171,Loss,#9RG0VPUVY
Poison,Ice Spirit,1,+0.171,Win,#9RG0VPUVY
Bandit,Rage,4,+0.172,Win,#9RG0VPUVY
Goblin Drill,Goblin Hut,3,+0.172,Win,#9RG0VPUVY
Bandit,Rage,3,+0.172,Loss,#9RG0VPUVY
Firecracker,Mother Witch,2,+0.172,Loss,#9RG0VPUVY
Skeleton Army,Zappies,3,+0.174,Win,#9RG0VPUVY
Rascals,Ice Wizard,3,+0.174,Win,#9RG0VPUVY
Skeleton Army,Zappies,2,+0.174,Win,#9RG0VPUVY
Skeleton Army,Zappies,4,+0.174,Win,#9RG0VPUVY
Three Musketeers,Fisherman,3,+0.174,Win,#9RG0VPUVY
Goblin Hut,Heal Spirit,2,+0.175,Win,#9RG0VPUVY
Electro Spirit,Ram Rider,4,+0.175,Win,#9RG0VPUVY
Electro Spirit,Ram Rider,3,+0.175,Win,#9RG0VPUVY
Three Musketeers,Rune Giant,3,+0.175,Loss,#9RG0VPUVY
Firecracker,Night Witch,4,+0.177,Win,#9RG0VPUVY
Goblin Drill,Royal Hogs,3,+0.179,Win,#9RG0VPUVY
Ronin,Rocket,3,+0.179,Win,#9RG0VPUVY
Three Musketeers,Night Witch,3,+0.180,Win,#9RG0VPUVY
Furnace,Inferno Dragon,4,+0.181,Win,#9RG0VPUVY
Goblin Barrel,Firecracker,4,+0.181,Win,#9RG0VPUVY
Goblin Barrel,Firecracker,4,+0.181,Win,#9RG0VPUVY
Furnace,Inferno Dragon,1,+0.181,Loss,#9RG0VPUVY
Rascals,Flying Machine,2,+0.181,Win,#9RG0VPUVY
Rascals,Flying Machine,3,+0.181,Win,#9RG0VPUVY
Rascals,Flying Machine,4,+0.181,Win,#9RG0VPUVY
Royal Hogs,Royal Delivery,3,+0.182,Win,#9RG0VPUVY
Royal Hogs,Royal Delivery,3,+0.182,Win,#9RG0VPUVY
Princess,Ice Wizard,1,+0.183,Win,#9RG0VPUVY
Princess,Ice Wizard,4,+0.183,Win,#9RG0VPUVY
Princess,Ice Wizard,2,+0.183,Loss,#9RG0VPUVY
Golem,Flying Machine,3,+0.183,Win,#9RG0VPUVY
Electro Spirit,Giant Snowball,2,+0.184,Win,#9RG0VPUVY
Arrows,Barbarian Hut,2,+0.184,Win,#9RG0VPUVY
Golem,Mother Witch,2,+0.184,Loss,#9RG0VPUVY
Arrows,Barbarian Hut,1,+0.184,Loss,#9RG0VPUVY
Electro Spirit,Giant Snowball,1,+0.184,Win,#9RG0VPUVY
Skeleton Barrel,Zappies,1,+0.185,Win,#9RG0VPUVY
Three Musketeers,Valkyrie,1,+0.187,Win,#9RG0VPUVY
Dart Goblin,Elite Barbarians,3,+0.188,Win,#9RQ8YRYQL
The Log,Princess,3,+0.188,Win,#9RG0VPUVY
Fireball,Tombstone,4,+0.188,Win,#9RG0VPUVY
Fireball,Tombstone,1,+0.188,Loss,#9RG0VPUVY
Graveyard,Giant,1,+0.189,Win,#9RG0VPUVY
Goblin Hut,Royal Delivery,1,+0.189,Win,#9RG0VPUVY
Wizard,Elite Barbarians,2,+0.190,Win,#9RG0VPUVY
Executioner,Elite Barbarians,3,+0.191,Win,#9RQ8YRYQL
Executioner,Elite Barbarians,4,+0.191,Loss,#9RG0VPUVY
Firecracker,Hunter,1,+0.192,Win,#9RQ8YRYQL
Knight,Rage,2,+0.192,Loss,#9RG0VPUVY
Giant Snowball,Elixir Golem,2,+0.192,Win,#9RG0VPUVY
Graveyard,Flying Machine,1,+0.193,Loss,#9RG0VPUVY
Elite Barbarians,Royal Giant,3,+0.193,Win,#9RG0VPUVY
Graveyard,Flying Machine,2,+0.193,Loss,#9RG0VPUVY
Graveyard,Rune Giant,2,+0.194,Win,#9RG0VPUVY
Three Musketeers,Hunter,3,+0.195,Win,#9RG0VPUVY
Three Musketeers,Hunter,2,+0.195,Win,#9RG0VPUVY
Firecracker,Ram Rider,1,+0.197,Loss,#9RG0VPUVY
The Log,Rascals,2,+0.197,Loss,#9RG0VPUVY
Furnace,Heal Spirit,1,+0.197,Loss,#9RG0VPUVY
The Log,Rascals,2,+0.197,Win,#9RG0VPUVY
The Log,Rascals,2,+0.197,Win,#9RG0VPUVY
Wizard,Goblin Giant,4,+0.198,Win,#9RG0VPUVY
Arrows,Ice Wizard,4,+0.198,Win,#9RG0VPUVY
Arrows,Ice Wizard,4,+0.198,Win,#9RG0VPUVY
Graveyard,Night Witch,1,+0.199,Win,#9RG0VPUVY
Three Musketeers,Ram Rider,4,+0.200,Win,#9RG0VPUVY
Three Musketeers,Ram Rider,1,+0.200,Loss,#9RG0VPUVY
Electro Wizard,Ice Spirit,2,+0.200,Win,#9RG0VPUVY
Barbarian Barrel,Rascals,1,+0.201,Win,#9RG0VPUVY
Goblin Barrel,Electro Spirit,1,+0.203,Win,#9RG0VPUVY
Mega Knight,Fisherman,2,+0.204,Loss,#9RG0VPUVY
Vines,Executioner,2,+0.204,Win,#9RG0VPUVY
Ronin,Royal Giant,3,+0.204,Win,#9RG0VPUVY
Ronin,Royal Giant,4,+0.204,Win,#9RG0VPUVY
Golem,Hunter,2,+0.204,Win,#9RG0VPUVY
Arrows,Fisherman,2,+0.205,Win,#9RG0VPUVY
Vines,Wizard,1,+0.205,Win,#9RG0VPUVY
Mega Knight,Rune Giant,3,+0.205,Win,#9RG0VPUVY
Mega Knight,Rune Giant,2,+0.205,Loss,#9RG0VPUVY
Tesla,Rocket,2,+0.206,Win,#9RG0VPUVY
Tombstone,Rune Giant,1,+0.206,Win,#9RG0VPUVY
Arrows,Rune Giant,3,+0.206,Win,#9RG0VPUVY
Poison,Wizard,4,+0.206,Win,#9RG0VPUVY
Goblin Barrel,Ice Spirit,2,+0.207,Loss,#9RG0VPUVY
Goblin Drill,Princess,3,+0.209,Win,#9RG0VPUVY
Three Musketeers,Giant Snowball,2,+0.209,Win,#9RG0VPUVY
Heal Spirit,Lava Hound,4,+0.209,Win,#9RG0VPUVY
Fireball,Golem,2,+0.210,Loss,#9RG0VPUVY
Tombstone,Night Witch,1,+0.211,Win,#9RG0VPUVY
Furnace,Royal Delivery,1,+0.211,Win,#9RG0VPUVY
Barbarian Barrel,Firecracker,2,+0.211,Win,#9RG0VPUVY
Furnace,Royal Delivery,3,+0.211,Loss,#9RG0VPUVY
Fireball,Rascals,3,+0.212,Win,#9RG0VPUVY
Royal Hogs,Ice Wizard,2,+0.213,Win,#9RG0VPUVY
Goblin Demolisher,Royal Hogs,3,+0.215,Loss,#9RG0VPUVY
Three Musketeers,Tesla,4,+0.216,Win,#9RG0VPUVY
Skeleton Barrel,Graveyard,2,+0.217,Win,#9RG0VPUVY
Golem,Giant Snowball,4,+0.218,Win,#9RG0VPUVY
Zappies,Ice Wizard,2,+0.218,Win,#9RG0VPUVY
Zappies,Ice Wizard,4,+0.218,Loss,#9RG0VPUVY
Fireball,Three Musketeers,1,+0.219,Win,#9RG0VPUVY
Goblin Hut,Ice Wizard,3,+0.220,Win,#9RQ8YRYQL
Goblin Hut,Ice Wizard,3,+0.220,Win,#9RG0VPUVY
Goblin Hut,Ice Wizard,1,+0.220,Loss,#9RG0VPUVY
Goblin Hut,Ice Wizard,3,+0.220,Win,#9RG0VPUVY
Royal Hogs,Mother Witch,4,+0.221,Win,#9RG0VPUVY
Tombstone,Dark Prince,1,+0.222,Win,#9RG0VPUVY
Goblin Hut,Giant,2,+0.223,Loss,#9RG0VPUVY
Skeleton Army,Three Musketeers,2,+0.225,Win,#9RG0VPUVY
Night Witch,Inferno Tower,1,+0.225,Win,#9RQ8YRYQL
Night Witch,Inferno Tower,1,+0.225,Loss,#9RG0VPUVY
Skeleton Army,Three Musketeers,3,+0.225,Loss,#9RG0VPUVY
Poison,Knight,3,+0.225,Loss,#9RG0VPUVY
Poison,Zap,3,+0.225,Win,#9RG0VPUVY
Ice Spirit,Elite Barbarians,4,+0.225,Loss,#9RG0VPUVY
Inferno Dragon,Lava Hound,2,+0.225,Win,#9RG0VPUVY
Rune Giant,Elixir Golem,2,+0.226,Loss,#9RG0VPUVY
Fisherman,Elixir Golem,4,+0.227,Win,#9RG0VPUVY
Fisherman,Elixir Golem,1,+0.227,Win,#9RG0VPUVY
Graveyard,Giant Snowball,1,+0.228,Loss,#9RG0VPUVY
Goblin Barrel,Berserker,1,+0.228,Win,#9RG0VPUVY
Goblin Hut,Mother Witch,1,+0.228,Win,#9RG0VPUVY
Goblin Hut,Mother Witch,4,+0.228,Win,#9RG0VPUVY
Furnace,Barbarian Hut,1,+0.228,Loss,#9RG0VPUVY
Bandit,Lava Hound,2,+0.228,Loss,#9RG0VPUVY
The Log,Electro Spirit,4,+0.229,Win,#9RG0VPUVY
Goblin Demolisher,Tombstone,4,+0.230,Win,#9RG0VPUVY
Flying Machine,Inferno Tower,1,+0.231,Loss,#9RQ8YRYQL
Flying Machine,Inferno Tower,2,+0.231,Win,#9RG0VPUVY
Arrows,Ram Rider,4,+0.231,Win,#9RG0VPUVY
Musketeer,Zappies,1,+0.231,Win,#9RG0VPUVY
Goblin Hut,Night Witch,4,+0.233,Win,#9RG0VPUVY
Barbarian Barrel,Electro Spirit,1,+0.233,Win,#9RG0VPUVY
The Log,Ice Spirit,1,+0.233,Win,#9RG0VPUVY
The Log,Ice Spirit,4,+0.233,Win,#9RG0VPUVY
Witch,Knight,1,+0.234,Win,#9RG0VPUVY
Ice Wizard,Elixir Golem,3,+0.234,Win,#9RG0VPUVY
Skeleton Barrel,Three Musketeers,1,+0.236,Win,#9RG0VPUVY
Barbarian Barrel,Ice Spirit,2,+0.237,Loss,#9RG0VPUVY
Electro Wizard,Dart Goblin,4,+0.237,Loss,#9RG0VPUVY
Mega Knight,Giant Snowball,4,+0.239,Loss,#9RG0VPUVY
Tombstone,Giant Snowball,3,+0.240,Win,#9RG0VPUVY
Royal Hogs,Hunter,3,+0.241,Win,#9RQ8YRYQL
Goblin Barrel,Executioner,4,+0.241,Win,#9RG0VPUVY
Goblin Barrel,Wizard,2,+0.242,Win,#9RQ8YRYQL
Goblin Demolisher,Graveyard,3,+0.242,Win,#9RG0VPUVY
Goblin Demolisher,Graveyard,4,+0.242,Win,#9RG0VPUVY
Vines,Bandit,1,+0.244,Win,#9RG0VPUVY
Vines,Bandit,3,+0.244,Win,#9RG0VPUVY
Mother Witch,X-Bow,3,+0.244,Win,#9RG0VPUVY
Rune Giant,X-Bow,3,+0.244,Win,#9RG0VPUVY
Fireball,Electro Spirit,3,+0.244,Win,#9RG0VPUVY
Poison,Bandit,4,+0.245,Win,#9RG0VPUVY
Vines,Inferno Dragon,2,+0.247,Win,#9RG0VPUVY
Tombstone,Tesla,3,+0.247,Win,#9RG0VPUVY
Poison,Mortar,4,+0.247,Win,#9RG0VPUVY
Ram Rider,Royal Giant,3,+0.247,Win,#9RG0VPUVY
Goblin Hut,Hunter,3,+0.248,Win,#9RG0VPUVY
Zap,Lava Hound,2,+0.248,Win,#9RG0VPUVY
Skeleton Army,Electro Spirit,2,+0.250,Win,#9RG0VPUVY
Zappies,Ram Rider,1,+0.251,Win,#9RG0VPUVY
Goblin Demolisher,Golem,3,+0.252,Loss,#9RG0VPUVY
Skeleton Barrel,Baby Dragon,3,+0.252,Win,#9RG0VPUVY
Golem,Ronin,1,+0.252,Win,#9RG0VPUVY
Hunter,Royal Giant,4,+0.252,Win,#9RG0VPUVY
Goblin Drill,Ice Spirit,3,+0.254,Loss,#9RG0VPUVY
Skeleton Army,Ice Spirit,2,+0.254,Loss,#9RG0VPUVY
Skeleton Army,Ice Spirit,3,+0.254,Win,#9RG0VPUVY
Goblin Demolisher,Rascals,1,+0.254,Win,#9RQ8YRYQL
Three Musketeers,Elite Barbarians,1,+0.254,Loss,#9RG0VPUVY
Three Musketeers,Elite Barbarians,2,+0.254,Win,#9RG0VPUVY
Witch,Bandit,4,+0.254,Loss,#9RG0VPUVY
Ice Wizard,Rocket,3,+0.255,Loss,#9RG0VPUVY
Dark Prince,Royal Giant,2,+0.256,Win,#9RG0VPUVY
Witch,Inferno Dragon,3,+0.257,Loss,#9RG0VPUVY
Firecracker,Goblin Giant,1,+0.259,Win,#9RG0VPUVY
Firecracker,Goblin Giant,1,+0.259,Win,#9RG0VPUVY
Goblin Barrel,Zap,4,+0.261,Win,#9RG0VPUVY
Furnace,Valkyrie,1,+0.262,Win,#9RG0VPUVY
Goblin Demolisher,Firecracker,1,+0.264,Loss,#9RG0VPUVY
Dart Goblin,Lava Hound,1,+0.265,Loss,#9RG0VPUVY
Musketeer,Princess,1,+0.266,Win,#9RG0VPUVY
Musketeer,Princess,3,+0.266,Win,#9RG0VPUVY
Furnace,Dark Prince,1,+0.266,Win,#9RG0VPUVY
P.E.K.K.A,Elixir Golem,1,+0.266,Win,#9RG0VPUVY
Wizard,Lava Hound,2,+0.267,Loss,#9RG0VPUVY
The Log,Wizard,3,+0.268,Loss,#9RG0VPUVY
Goblin Hut,Tesla,2,+0.269,Win,#9RG0VPUVY
The Log,Dart Goblin,2,+0.270,Win,#9RG0VPUVY
Furnace,Hunter,3,+0.270,Win,#9RG0VPUVY
Firecracker,Rage,4,+0.272,Loss,#9RG0VPUVY
Firecracker,Rage,3,+0.272,Win,#9RG0VPUVY
Mother Witch,Royal Giant,4,+0.272,Win,#9RG0VPUVY
Graveyard,Elite Barbarians,1,+0.273,Loss,#9RG0VPUVY
Skeleton Army,Berserker,2,+0.275,Loss,#9RG0VPUVY
Musketeer,Rascals,1,+0.275,Win,#9RG0VPUVY
Three Musketeers,Rage,4,+0.275,Win,#9RG0VPUVY
Musketeer,Rascals,1,+0.275,Win,#9RG0VPUVY
Electro Wizard,Mortar,1,+0.276,Loss,#9RG0VPUVY
Giant,Royal Giant,1,+0.277,Win,#9RG0VPUVY
Goblin Demolisher,Baby Dragon,3,+0.277,Win,#9RG0VPUVY
Princess,Goblin Giant,4,+0.278,Win,#9RG0VPUVY
Heal Spirit,Elixir Golem,4,+0.279,Loss,#9RG0VPUVY
Heal Spirit,Elixir Golem,4,+0.279,Win,#9RG0VPUVY
Graveyard,Goblin Giant,1,+0.281,Win,#9RG0VPUVY
Berserker,Lava Hound,3,+0.281,Win,#9RG0VPUVY
Berserker,Lava Hound,3,+0.281,Win,#9RG0VPUVY
